Table,Subcategory,Line Item,Active
Housing,Ownership,Mortgage,TRUE
Housing,Ownership,Condo Fee,TRUE
Housing,Ownership,Home Insurance,TRUE
Housing,Taxes,Property Tax,TRUE
Housing,Taxes,School Tax,TRUE
Housing,Utilities,Hydro,TRUE
Housing,Capital Improvements,Special Assessment,TRUE
Essentials,Sustenance,Lufa,TRUE
Essentials,Sustenance,Groceries Other,TRUE
Essentials,Household,Home Necessities,TRUE
Essentials,Healthcare,Prescriptions,TRUE
Essentials,Healthcare,Dental,TRUE
Essentials,Healthcare,Other Medical,TRUE
Essentials,Pet Care,Kibbles,TRUE
Essentials,Pet Care,Vet,TRUE
Essentials,Pet Care,Other,TRUE
Essentials,Transportation,Rideshare,TRUE
Essentials,Transportation,Parking,TRUE
Essentials,Transportation,Other,TRUE
Essentials,Professional Services,Accountant,TRUE
Discretionary,Dining,Restaurants,TRUE
Discretionary,Dining,Other (Snacks),TRUE
Discretionary,Entertainment,Movies / Events,TRUE
Discretionary,Entertainment,Books / Games,TRUE
Discretionary,Shopping,Clothing,TRUE
Discretionary,Shopping,Electronics,TRUE
Discretionary,Shopping,Other,TRUE
Discretionary,Home Improvement,Furniture,TRUE
Discretionary,Gifts & Donations,Gifts,TRUE
Subscriptions,Communications,Internet,TRUE
Subscriptions,Communications,Mobile CA,TRUE
Subscriptions,Communications,Mobile US,TRUE
Subscriptions,Media & Services,Spotify,TRUE
Subscriptions,Media & Services,Google One,TRUE
Subscriptions,Media & Services,Amazon Prime,TRUE
Subscriptions,Media & Services,NY Times,TRUE
Subscriptions,Media & Services,Claude,TRUE
Subscriptions,Media & Services,Other,TRUE
Large Purchases,Item,Item,TRUE
Travel,Trip,Transportation,TRUE
Travel,Trip,Shelter,TRUE
Travel,Trip,Food,TRUE
Travel,Trip,Shopping,TRUE
Travel,Trip,Flights,TRUE
Travel,Trip,Other,TRUE
Savings,Savings,TFSA,TRUE
Savings,Savings,RRSP,TRUE
